M1 Token Census — Layer 4
================================================================================

Dir 0 — Top tokens by head frequency:
Token                          #Heads      %
 Del                                9   7.0%
De                                  9   7.0%


ALL DIRECTIONS combined — tokens appearing in most heads:
Token                          #Appearances      %
--------------------------------------------------
 O                                      159  31.1%
～                                       140  27.3%
 Op                                     136  26.6%
-O                                      135  26.4%
@                                       134  26.2%
…                                       130  25.4%
OP                                      129  25.2%
[[                                      128  25.0%
~~                                      126  24.6%
~                                       125  24.4%
                                        121  23.6%
../../                                  118  23.0%
****                                    117  22.9%
\u3000                                  115  22.5%
 /*                                     115  22.5%
https                                   112  21.9%
 U                                      111  21.7%
Vol                                     109  21.3%
\\({}^{\\                               108  21.1%
../                                     106  20.7%
／                                       106  20.7%
Å                                       102  19.9%
這                                       101  19.7%
www                                      99  19.3%
{{                                       98  19.1%
~~~~                                     97  18.9%
O                                        97  18.9%
Footnote                                 96  18.8%
EO                                       95  18.6%
.ch                                      92  18.0%
OG                                       91  17.8%
 [[                                      90  17.6%
Op                                       90  17.6%
 ch                                      89  17.4%
_op                                      88  17.2%
‑                                        87  17.0%
▲                                        83  16.2%
{O                                       82  16.0%
О                                        80  15.6%
957                                      72  14.1%
 At                                      72  14.1%
◎                                        71  13.9%
RO                                       71  13.9%
***                                      70  13.7%
OC                                       70  13.7%
女人                                       68  13.3%
-D                                       68  13.3%
Ch                                       65  12.7%
??                                       63  12.3%
柯                                        63  12.3%


================================================================================
Head Clusters (by token overlap, Jaccard > 0.3):
================================================================================

Cluster 47 (11 heads): [4, 9, 31, 42, 57, 59, 64, 65, 110, 111, 115]
  Shared Dir0 tokens: ['…', '@', '****', '[[', '~~', '', '../../']
  H  4 (frob=0.170): ['…', '@', '~~', '[[', '~']
  H  9 (frob=0.152): ['…', '[[', '@', '', '~~']
  H 31 (frob=0.146): ['…', '@', '[[', '~~', '']
  H 42 (frob=0.194): ['…', '[[', '@', '~~', '']
  H 57 (frob=0.346): ['…', '[[', '@', '~~', '']
  H 59 (frob=0.205): ['[[', '…', '\\\\({}^{\\\\', '', '****']
  H 64 (frob=0.230): ['…', '[[', '\\\\({}^{\\\\', '****', '@']
  H 65 (frob=0.133): ['…', '[[', '@', '~~', '']
  H110 (frob=0.266): ['…', '@', '~~', '[[', '~']
  H111 (frob=0.237): ['…', '[[', '@', '****', '\\\\({}^{\\\\']

Cluster 44 (9 heads): [0, 24, 38, 51, 52, 56, 71, 94, 120]
  Shared Dir0 tokens: ['…', '@', '\\\\({}^{\\\\', '****', '[[', '~~', 'https', '']
  H  0 (frob=0.171): ['…', '[[', '\\\\({}^{\\\\', '****', '']
  H 24 (frob=0.131): ['…', '[[', '\\\\({}^{\\\\', '****', '']
  H 38 (frob=0.325): ['…', '[[', '@', '~~', '～']
  H 51 (frob=0.339): ['…', '[[', '~~', '', '@']
  H 52 (frob=0.137): ['[[', '…', '', '~~', '@']
  H 56 (frob=0.300): ['…', '[[', '\\\\({}^{\\\\', '****', '']
  H 71 (frob=0.187): ['…', '[[', '', '~~', '****']
  H 94 (frob=0.287): ['…', '[[', '@', '', '\\\\({}^{\\\\']
  H120 (frob=0.212): ['…', '[[', '\\\\({}^{\\\\', '****', 'www']

Cluster 48 (6 heads): [13, 18, 70, 86, 90, 91]
  Shared Dir0 tokens: ['…', '~', '@', '****', '[[', '~~', 'https', '', '../../', ' /*']
  H 13 (frob=0.296): ['…', '[[', '~~', '', '@']
  H 18 (frob=0.375): ['…', '@', '~~', '~', '../../']
  H 70 (frob=0.229): ['[[', '…', '~~', '', '../../']
  H 86 (frob=0.216): ['…', '[[', '~~', '', '../../']
  H 90 (frob=0.330): ['…', '~~', '@', '[[', '~']
  H 91 (frob=0.261): ['…', '[[', '@', '~~', '']

Cluster 29 (5 heads): [34, 88, 108, 112, 127]
  Shared Dir0 tokens: ['…', '~', '@', '‑', '[[', '\\u3000', '~~', '', '../../', '～']
  H 34 (frob=0.192): ['…', '@', '～', '[[', '~']
  H 88 (frob=0.218): ['@', '…', '~', '～', '~~']
  H108 (frob=0.350): ['…', '~~', '@', '~', '[[']
  H112 (frob=0.123): ['…', '～', '~', '@', '../../']
  H127 (frob=0.287): ['@', '…', '~', '~~', '～']

Cluster 11 (4 heads): [2, 36, 74, 119]
  Shared Dir0 tokens: ['…', 'Å', '\\\\({}^{\\\\', '****', 'www', '[[', '{{', '~~', 'https', '']
  H  2 (frob=0.281): ['…', '[[', '\\\\({}^{\\\\', '', '****']
  H 36 (frob=0.256): ['…', '[[', '~~', '', '\\\\({}^{\\\\']
  H 74 (frob=0.177): ['[[', '…', '\\\\({}^{\\\\', ' [[', '****']
  H119 (frob=0.244): ['[[', '…', '\\\\({}^{\\\\', '****', '']

Cluster 40 (4 heads): [3, 27, 79, 84]
  Shared Dir0 tokens: ['…', '~', '@', '\\\\({}^{\\\\', '****', '[[', '\\u3000', '~~', 'https', '']
  H  3 (frob=0.136): ['…', '[[', '~~', '@', '']
  H 27 (frob=0.217): ['…', '[[', '@', '~~', '']
  H 79 (frob=0.206): ['…', '[[', '~~', '@', '']
  H 84 (frob=0.331): ['…', '[[', '', '~~', '@']

Cluster 14 (4 heads): [6, 20, 26, 124]
  Shared Dir0 tokens: ['…', 'Å', '\\\\({}^{\\\\', '****', 'www', '[[', '{{', '957', 'https', '']
  H  6 (frob=0.228): ['[[', '…', '\\\\({}^{\\\\', '****', 'www']
  H 20 (frob=0.166): ['[[', '…', '\\\\({}^{\\\\', 'www', '****']
  H 26 (frob=0.386): ['[[', '…', '\\\\({}^{\\\\', '****', ' [[']
  H124 (frob=0.153): ['[[', '…', '\\\\({}^{\\\\', '****', ' [[']

Cluster 49 (4 heads): [17, 29, 67, 68]
  Shared Dir0 tokens: ['…', '\\\\({}^{\\\\', '****', '[[', '{{', '~~', 'https', '', 'Footnote', ' [[']
  H 17 (frob=0.326): ['…', '[[', '~~', '', 'https']
  H 29 (frob=0.332): ['[[', '…', '~~', '', '@']
  H 67 (frob=0.243): ['[[', '…', '\\\\({}^{\\\\', ' [[', '****']
  H 68 (frob=0.278): ['…', '[[', '~~', '@', '']

Cluster 50 (4 heads): [66, 78, 107, 123]
  Shared Dir0 tokens: ['…', '@', 'www', '****', '\\\\({}^{\\\\', '[[', '~~', 'https', '', '～']
  H 66 (frob=0.243): ['[[', '…', '****', '', '~~']
  H 78 (frob=0.345): ['…', '[[', '~~', '', '@']
  H107 (frob=0.220): ['…', '[[', '@', '\\\\({}^{\\\\', '****']
  H123 (frob=0.249): ['…', '[[', '~~', '\\\\({}^{\\\\', '']

Cluster 1 (3 heads): [5, 32, 62]
  Shared Dir0 tokens: ['\\\\({}^{\\\\', '[[', ' Op', '143', '.ch', ' ch', 'ch', 'sh', 'chat']
  H  5 (frob=0.324): ['.ch', ' Op', ' ch', '143', '[[']
  H 32 (frob=0.198): ['.ch', ' ch', ' Op', 'Ch', 'ch']
  H 62 (frob=0.265): ['.ch', ' ch', 'Ch', ' Op', 'ch']

Cluster 33 (3 heads): [14, 73, 99]
  H 14 (frob=0.184): ['…', '[[', 'www', '@', '\\\\({}^{\\\\']
  H 73 (frob=0.272): ['…', '[[', '\\\\({}^{\\\\', '****', '957']
  H 99 (frob=0.274): [' O', ' U', 'UU', '柯', 'Ω']

Cluster 37 (3 heads): [19, 28, 118]
  Shared Dir0 tokens: ['…', '~', '@', '****', '[[', ' /*', '~~', '', '../../', '～']
  H 19 (frob=0.328): ['…', '[[', '~~', '', '\\\\({}^{\\\\']
  H 28 (frob=0.222): ['…', '~~', '@', '[[', '../../']
  H118 (frob=0.167): ['…', '@', '[[', '~~', '~']

Cluster 13 (3 heads): [35, 96, 121]
  Shared Dir0 tokens: ['…', '\\\\({}^{\\\\', 'www', '[[', '{{', 'https', 'Footnote', '', ' [[']
  H 35 (frob=0.157): ['[[', '…', ' [[', 'Footnote', 'https']
  H 96 (frob=0.338): ['[[', '…', ' [[', 'Footnote', '']
  H121 (frob=0.298): ['[[', '…', ' [[', 'Footnote', '143']

Cluster 39 (3 heads): [53, 92, 113]
  Shared Dir0 tokens: ['…', 'Å', '@', '\\\\({}^{\\\\', '****', 'www', '[[', '{{', '~~', 'https']
  H 53 (frob=0.174): ['[[', '…', '\\\\({}^{\\\\', '****', '']
  H 92 (frob=0.173): ['[[', '…', '\\\\({}^{\\\\', '', '****']
  H113 (frob=0.159): ['[[', '…', '', '\\\\({}^{\\\\', '****']

Cluster 38 (3 heads): [89, 101, 125]
  Shared Dir0 tokens: ['…', '~', '@', 'www', '****', '[[', '~~', 'https', '', '../../']
  H 89 (frob=0.135): ['…', '[[', '~~', '@', '']
  H101 (frob=0.239): ['…', '[[', '', '\\\\({}^{\\\\', '****']
  H125 (frob=0.128): ['…', '[[', '~~', '', '@']

Cluster 41 (2 heads): [1, 109]
  Shared Dir0 tokens: ['…', '~', '@', '\\\\({}^{\\\\', '****', 'www', '～', '[[', '~~', '']
  H  1 (frob=0.291): ['…', '[[', '@', '～', '~']
  H109 (frob=0.185): ['…', '@', '～', '[[', '~']

Cluster 21 (2 heads): [8, 60]
  Shared Dir0 tokens: ['~', '…', '@', ' ~', '‑', '\\u3000', '~~', '▼', '―', '']
  H  8 (frob=0.216): ['@', '~', '~~', '../../', '～']
  H 60 (frob=0.302): ['@', '~~', '~', '…', '../../']

Cluster 25 (2 heads): [11, 40]
  Shared Dir0 tokens: ['…', '~', '@', '‑', '****', '[[', '◎', ' /*', '~~', '']
  H 11 (frob=0.347): ['@', '…', '~', '~~', '～']
  H 40 (frob=0.402): ['@', '…', '~~', '~', '～']

Cluster 36 (2 heads): [12, 50]
  Shared Dir0 tokens: ['…', '~', '@', '\\\\({}^{\\\\', '****', 'www', '～', '[[', '~~', 'https']
  H 12 (frob=0.292): ['…', '[[', '', '～', '@']
  H 50 (frob=0.151): ['…', '[[', '@', '～', '~~']

Cluster 30 (2 heads): [15, 39]
  Shared Dir0 tokens: ['…', '~', '@', '‑', '****', '[[', '◎', '\\u3000', '~~', '']
  H 15 (frob=0.257): ['…', '@', '~', '~~', '～']
  H 39 (frob=0.162): ['…', '@', '～', '../../', '~~']

Cluster 8 (2 heads): [21, 100]
  Shared Dir0 tokens: ['…', '\\\\({}^{\\\\', '****', 'www', '[[', ' ‘‘', '957', '.ch', 'Ch', ' [[']
  H 21 (frob=0.347): ['[[', '…', '\\\\({}^{\\\\', ' [[', '.ch']
  H100 (frob=0.217): ['[[', '\\\\({}^{\\\\', '…', '.ch', '957']

Cluster 27 (2 heads): [22, 23]
  Shared Dir0 tokens: ['…', '~', '@', '‑', '****', '[[', '??', '\\u3000', '~~', '']
  H 22 (frob=0.225): ['…', '@', '~~', '', '~']
  H 23 (frob=0.147): ['@', '…', '~~', '~', '']

Cluster 43 (2 heads): [25, 105]
  Shared Dir0 tokens: ['…', 'Å', '\\\\({}^{\\\\', '****', 'www', '[[', '{{', '143', 'https', '']
  H 25 (frob=0.217): ['[[', '…', ' [[', '\\\\({}^{\\\\', 'Footnote']
  H105 (frob=0.236): ['[[', '…', '\\\\({}^{\\\\', '****', ' [[']

Cluster 22 (2 heads): [30, 93]
  Shared Dir0 tokens: ['~', '…', '@', '~~', '', '../../', '～', ' ~~', ' /*']
  H 30 (frob=0.262): ['…', '~~', '[[', '../../', 'Footnote']
  H 93 (frob=0.195): ['@', '~', '~~', '…', '']

Cluster 7 (2 heads): [33, 72]
  Shared Dir0 tokens: ['…', '\\\\({}^{\\\\', 'www', '[[', 'Ch', ' ‘‘', '143', '.ch', '957', ' [[']
  H 33 (frob=0.224): ['[[', '\\\\({}^{\\\\', '.ch', '…', 'Ch']
  H 72 (frob=0.219): ['[[', '\\\\({}^{\\\\', '…', '.ch', 'Ch']

Cluster 31 (2 heads): [37, 46]
  Shared Dir0 tokens: ['~', '…', '@', '‑', '[[', '\\u3000', '~~', '▼', '', '../../']
  H 37 (frob=0.214): ['@', '～', '~', '../../', '…']
  H 46 (frob=0.332): ['~~', '~', '@', '../../', '']

Cluster 45 (2 heads): [43, 116]
  Shared Dir0 tokens: ['…', '~', '@', '****', '[[', '\\u3000', '~~', 'https', '', '../../']
  H 43 (frob=0.243): ['…', '[[', '~~', '\\\\({}^{\\\\', '']
  H116 (frob=0.343): ['…', '~~', '@', '[[', '../../']

Cluster 6 (2 heads): [44, 83]
  Shared Dir0 tokens: ['…', 'Å', '\\\\({}^{\\\\', '****', 'www', '[[', '143', 'https', '', '957']
  H 44 (frob=0.120): ['[[', '…', '\\\\({}^{\\\\', '****', '957']
  H 83 (frob=0.173): ['[[', '…', '\\\\({}^{\\\\', '957', '****']

Cluster 9 (2 heads): [55, 61]
  Shared Dir0 tokens: ['…', '@', '\\\\({}^{\\\\', '****', 'www', '[[', '``', '~~', 'https', '']
  H 55 (frob=0.224): ['[[', '…', '~~', '', ' [[']
  H 61 (frob=0.297): ['[[', '…', '~~', '', 'Footnote']

Cluster 35 (2 heads): [58, 98]
  Shared Dir0 tokens: ['…', '~', '@', '\\\\({}^{\\\\', '****', '[[', '~~', '', '../../', '～']
  H 58 (frob=0.274): ['…', '[[', '~~', '', '@']
  H 98 (frob=0.254): ['…', '@', '[[', '～', '~']

Cluster 32 (2 heads): [63, 104]
  Shared Dir0 tokens: ['…', '@', '\\\\({}^{\\\\', '****', 'www', '～', '[[', '\\u3000', '~~', 'https']
  H 63 (frob=0.236): ['…', '[[', '\\\\({}^{\\\\', '****', '']
  H104 (frob=0.257): ['…', '[[', '', '@', '\\\\({}^{\\\\']

Cluster 42 (2 heads): [75, 126]
  Shared Dir0 tokens: ['…', '~', '@', 'www', '****', '[[', '{{', '\\u3000', '~~', 'https']
  H 75 (frob=0.227): ['…', '@', '[[', '~~', '~']
  H126 (frob=0.155): ['…', '[[', '@', '~~', '']

Cluster 23 (2 heads): [77, 122]
  Shared Dir0 tokens: ['…', '~', '@', '‑', '[[', '\\u3000', '~~', '', '../../', '～']
  H 77 (frob=0.307): ['@', '~~', '~', '…', '../../']
  H122 (frob=0.221): ['…', '@', '[[', '~~', '']

Cluster 24 (2 heads): [81, 82]
  H 81 (frob=0.305): ['~~', '@', '~', '…', '']
  H 82 (frob=0.270): ['.ch', ' ch', 'Ch', ' Op', ' Ch']

Cluster 10 (2 heads): [85, 97]
  Shared Dir0 tokens: ['…', 'Å', '@', '\\\\({}^{\\\\', '****', 'www', '[[', '{{', ' /*', '~~']
  H 85 (frob=0.222): ['…', '[[', '@', '', '~~']
  H 97 (frob=0.244): ['[[', '…', '\\\\({}^{\\\\', '****', '']

Cluster 5 (2 heads): [102, 117]
  Shared Dir0 tokens: ['…', 'Å', '\\\\({}^{\\\\', '****', '[[', ' ‘‘', '957', '.ch', '「', 'Ch']
  H102 (frob=0.192): ['[[', '\\\\({}^{\\\\', '/**', '****', '957']
  H117 (frob=0.214): ['[[', '\\\\({}^{\\\\', '957', '/**', '****']



================================================================================
Significant Heads (>1σ frob) — Dir0-Dir3 top tokens:
================================================================================

Head 47 (frob=0.4377, 2.9σ):
  Dir0 (σ=0.4162): ['~~', '…', '@', '~', '../../', '[[', '', '～']
  Dir1 (σ=0.0943): [' O', ' Op', ' U', '-O', 'EO', '{O', 'Vol', '_op']
  Dir2 (σ=0.0287): ['_col', '�', ' "\\\\', ' Ne', ' An', ' Newton', '哎', ' Su']
  Dir3 (σ=0.0247): ['Table', ' Table', 'table', ',,', 'subscript�', 'tmp', ' np', ' row']

Head 40 (frob=0.4023, 2.3σ):
  Dir0 (σ=0.3609): ['@', '…', '~~', '~', '～', '../../', '', '[[']
  Dir1 (σ=0.1183): ['.ch', ' ch', ' Op', ' U', 'Vol', 'sch', ' O', '_op']
  Dir2 (σ=0.0661): ['／', '-D', '_CL', 'nn', 'nb', '_G', 'OG', '-F']
  Dir3 (σ=0.0287): ['At', ' At', 'Des', ' Dis', '489', ' An', 'Draw', ' St']

Head 26 (frob=0.3862, 2.1σ):
  Dir0 (σ=0.3581): ['[[', '…', '\\\\({}^{\\\\', '****', ' [[', 'www', '957', 'https']
  Dir1 (σ=0.0897): [' O', 'OP', '-O', '▲', 'Ω', 'С', '柯', '远']
  Dir2 (σ=0.0511): [' ...,', '046', ' !=', 'HD', '045', '035', '-H', ' Ne']
  Dir3 (σ=0.0276): [' Get', ' Hand', '_code', 'Off', ' Will', 'Display', 'Get', ' Off']

Head 18 (frob=0.3751, 1.9σ):
  Dir0 (σ=0.3535): ['…', '@', '~~', '~', '../../', '～', '[[', '']
  Dir1 (σ=0.0767): [' Op', ' O', '.ch', ' ch', ' U', 'Vol', '-O', '女人']
  Dir2 (σ=0.0376): [' Ne', '／', ' une', '-H', ' ...,', '045', '\\tt', 'OC']
  Dir3 (σ=0.0258): ['();', ' MAX', ' X', ' Y', ' M', '栖', '_M', '20']

Head 7 (frob=0.3697, 1.9σ):
  Dir0 (σ=0.2959): ['@', '~', '~~', '～', '../../', '▲', '▼', '‑']
  Dir1 (σ=0.1036): [' Op', 'list', '.ch', ' O', 'Vol', ' ch', 'sch', '_op']
  Dir2 (σ=0.0370): ['739', '／', '珍', '忠', '》《', '731', ' tetra', '741']
  Dir3 (σ=0.0298): ['Sn', 'sn', '035', '036', '洪', ' Sn', '>>>', ' VI']

Head 108 (frob=0.3501, 1.6σ):
  Dir0 (σ=0.3325): ['…', '~~', '@', '~', '[[', '', '../../', '～']
  Dir1 (σ=0.0529): [' O', '-O', '-D', '／', 'O', '伊', 'EO', 'OP']
  Dir2 (σ=0.0458): [' Ch', ' ch', 'Ch', '_r', '_op', '.ch', 'RU', 'UU']
  Dir3 (σ=0.0292): [' At', ' Over', ' Without', ' Op', 'At', ' Un', 'Op', ' On']

Head 21 (frob=0.3469, 1.5σ):
  Dir0 (σ=0.3249): ['[[', '…', '\\\\({}^{\\\\', ' [[', '.ch', 'www', '', 'chat']
  Dir1 (σ=0.0769): ['柯', '远', '▲', 'Ω', 'С', 'OP', '408', '../../']
  Dir2 (σ=0.0270): ['tmp', ' !=', ' Ne', ' Now', ' At', ' Without', 'Qt', ' Ut']
  Dir3 (σ=0.0236): ['／', '-D', 'Cor', ' Far', '\\\\(-\\\\)', '匡', '642', ' \\\\(-\\\\)']

Head 11 (frob=0.3468, 1.5σ):
  Dir0 (σ=0.2928): ['@', '…', '~', '~~', '～', '', '[[', '../../']
  Dir1 (σ=0.0990): [' Op', '.ch', ' ch', '_op', ' U', 'sch', 'Op', '淑']
  Dir2 (σ=0.0764): ['035', 'OG', 'OC', '_CL', 'list', '046', 'name', '.name']
  Dir3 (σ=0.0398): [']->', '雨', '239', '-O', '.O', '264', '}}_{', '／']

Head 57 (frob=0.3461, 1.5σ):
  Dir0 (σ=0.3011): ['…', '[[', '@', '~~', '', '~', '～', '../../']
  Dir1 (σ=0.1052): [' O', ' Op', '-O', ' U', 'EO', '.ch', 'Vol', ' ch']
  Dir2 (σ=0.0718): ['／', '迪', 'vertex', '-D', 'OG', ':', ' une', 'HD']
  Dir3 (σ=0.0446): [' At', 'At', ' Un', 'Qt', ' No', ' Set', 'Op', 'Set']

Head 78 (frob=0.3451, 1.5σ):
  Dir0 (σ=0.2523): ['…', '[[', '~~', '', '@', 'https', 'www', 'Footnote']
  Dir1 (σ=0.1282): [' O', '-O', 'OP', ' Op', 'Vol', 'O', 'EO', '{O']
  Dir2 (σ=0.0538): ['／', ':', ' Ne', '》《', 'vertex', '★', 'Ch', '——《']
  Dir3 (σ=0.0374): ['泉', '溪', '硅', '289', '能源', '代码', '井', ' St']

Head 116 (frob=0.3430, 1.5σ):
  Dir0 (σ=0.2880): ['…', '~~', '@', '[[', '../../', '~', '～', '']
  Dir1 (σ=0.0660): [' Op', 'Op', ' U', ' O', 'Run', 'Un', ' Un', 'Vol']
  Dir2 (σ=0.0612): ['-O', 'OP', 'OC', 'OD', 'О', 'EO', 'Ｏ', 'mith']
  Dir3 (σ=0.0522): [' Hand', ' Get', 'Ch', ' Ch', ' Tell', '\\ufeff', '拿', ' tell']

Head 51 (frob=0.3395, 1.4σ):
  Dir0 (σ=0.3029): ['…', '[[', '~~', '', '@', 'https', '****', '\\\\({}^{\\\\']
  Dir1 (σ=0.0674): [' ch', ' Ch', '.ch', 'UU', ' U', '淑', 'RU', '_r']
  Dir2 (σ=0.0580): [' O', '-O', '／', 'OP', '-D', '-P', 'О', 'O']
  Dir3 (σ=0.0487): [' At', 'Qt', 'At', 'Op', 'Ut', ' religious', ' No', 'Ip']

Head 96 (frob=0.3377, 1.4σ):
  Dir0 (σ=0.3065): ['[[', '…', ' [[', 'Footnote', '', 'https', '\\\\({}^{\\\\', 'www']
  Dir1 (σ=0.0779): [' O', '▲', 'OP', 'С', '~', 'Ω', '-O', '柯']
  Dir2 (σ=0.0644): ['Ch', ' Ch', '_r', '／', '》《', '957', '《', '.ch']
  Dir3 (σ=0.0336): ['108', ' Ne', ' At', ' Du', ' Не', '茂', 'Qt', ' religious']

Head 29 (frob=0.3320, 1.3σ):
  Dir0 (σ=0.3134): ['[[', '…', '~~', '', '@', ' [[', '****', '\\\\({}^{\\\\']
  Dir1 (σ=0.0541): [' O', ' U', 'Vol', '-O', ' Op', 'Ω', 'OP', 'UV']
  Dir2 (σ=0.0437): ['／', '-D', '迪', '-F', 'OG', '____', '◎', ' O']
  Dir3 (σ=0.0271): ['校', 'width', 'Without', ' Without', 'EC', 'Width', '620', ' width']

Head 46 (frob=0.3319, 1.3σ):
  Dir0 (σ=0.3048): ['~~', '~', '@', '../../', '', '…', '～', '‑']
  Dir1 (σ=0.0783): [' Op', ' O', '-O', '.ch', 'list', 'Vol', 'EO', '{O']
  Dir2 (σ=0.0364): ['Ch', '046', '_CH', '-Ch', ' Ch', ' CH', '-G', '叔']
  Dir3 (σ=0.0324): [' Ne', '108', '》《', '.top', '反映', '107', 'Edge', '740']

Head 84 (frob=0.3308, 1.3σ):
  Dir0 (σ=0.2857): ['…', '[[', '', '~~', '@', '****', '\\\\({}^{\\\\', 'https']
  Dir1 (σ=0.1158): [' O', 'OP', '-O', 'EO', 'O', '{O', 'EP', 'FO']
  Dir2 (σ=0.0582): ['Over', ' Over', '当前', 'Without', ' Without', ' At', ' Au', '校']
  Dir3 (σ=0.0391): ['_r', ' Ch', 'Ch', '_op', 'UU', '_u', '珍', '教育']

Head 90 (frob=0.3297, 1.3σ):
  Dir0 (σ=0.2550): ['…', '~~', '@', '[[', '~', '', 'Footnote', '??']
  Dir1 (σ=0.1447): [' Op', '.ch', ' U', ' O', ' ch', '_op', 'Vol', 'sch']
  Dir2 (σ=0.0790): ['／', 'OG', 'OC', '045', '046', '-F', '-D', '迪']
  Dir3 (σ=0.0377): [' St', ' Mer', '_ARG', 'italic', ' Physical', ' La', '代码', '}}^{']

