M2 Token Census — Layer 5
================================================================================

Dir 0 — Top tokens by head frequency:
Token                          #Heads      %
\r                                 21  16.4%
 multiple                          21  16.4%
 those                             21  16.4%
]\n                                21  16.4%
);\n                               20  15.6%
,\n                                20  15.6%
.\n                                20  15.6%
 many                              19  14.8%
 \\(\\{                            19  14.8%

Dir 2 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
                                   41  32.0%
(\n                                33  25.8%
({\n                               25  19.5%
>\n                                25  19.5%
 \\({\\                            24  18.8%
{table                             23  18.0%
\n                                 23  18.0%
 \n                                23  18.0%
，\n                                19  14.8%
 %}\n                              17  13.3%
\n\n                               17  13.3%
‟                                  16  12.5%
;\n                                16  12.5%
 https                             15  11.7%
<｜fim▁begin｜>                      15  11.7%
>\n\n                              15  11.7%
:\n\n                              14  10.9%
.\n\n                              14  10.9%
 {\n                               14  10.9%
、\n\n                              14  10.9%
、\n                                14  10.9%
�                                  14  10.9%
 \\(|                              14  10.9%
 italic                            13  10.2%
                                   13  10.2%
>>>>                               12   9.4%
%.\n\n                             11   8.6%
.\n                                11   8.6%
 }\n                               11   8.6%
]:\n\n                             11   8.6%
 \\(                               11   8.6%
 their                             11   8.6%
,\n                                11   8.6%
,\n                                11   8.6%
\n                                 11   8.6%
_n                                 11   8.6%
()\n                               10   7.8%
\\).\n\n                           10   7.8%
 \n\n                              10   7.8%
 the                               10   7.8%
\\({}_{\\                          10   7.8%
Footnote                           10   7.8%
：\n\n                              10   7.8%
有些                                 10   7.8%
，\n\n                              10   7.8%
>\n                                10   7.8%
\r                                 10   7.8%
\n \n                               9   7.0%
（）\n\n                              8   6.2%
�                                   8   6.2%

Dir 3 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
’                                  19  14.8%
                                   18  14.1%
 italic                            17  13.3%
\r                                 16  12.5%
subscript�                         14  10.9%
�                                  14  10.9%
(\n                                13  10.2%
}}\\)                              12   9.4%
 the                               12   9.4%
{table                             12   9.4%
 \\\\\n\n                          12   9.4%
                                   11   8.6%
({\n                               11   8.6%
Footnote                           11   8.6%
>\n                                11   8.6%
�                                  10   7.8%
>>>>                               10   7.8%
 %}\n                              10   7.8%
 �                                 10   7.8%
<｜fim▁begin｜>                       9   7.0%
\\({}_{\\                           9   7.0%
\\({}_{                             9   7.0%
 {\n                                9   7.0%
 al                                 9   7.0%
 their                              9   7.0%
}\\)                                8   6.2%
The                                 8   6.2%
�                                   8   6.2%
 \n                                 8   6.2%
}[]{                                8   6.2%
CrossRef                            7   5.5%
‟                                   7   5.5%
 some                               7   5.5%
,\n                                 7   5.5%
 می                                 7   5.5%
 his                                7   5.5%
下                                   7   5.5%
;\n                                 7   5.5%
()\n                                7   5.5%
，\n                                 7   5.5%
 \\(|                               7   5.5%
、\n                                 7   5.5%
\n                                  7   5.5%
 \\(                                7   5.5%
.githubusercontent                  7   5.5%
 /**\n                              6   4.7%
,\n                                 6   4.7%
 be                                 6   4.7%
 (                                  6   4.7%
 each                               6   4.7%


ALL DIRECTIONS combined — tokens appearing in most heads:
Token                          #Appearances      %
--------------------------------------------------
(\n                                     212  41.4%
                                        180  35.2%
__(                                     137  26.8%
 many                                   136  26.6%
}\\]                                    134  26.2%
_d                                      126  24.6%
{table                                  126  24.6%
}(\\                                    125  24.4%
\\({}^{-                                122  23.8%
_D                                      121  23.6%
\xa0\xa0\xa0                            118  23.0%
 easily                                 113  22.1%
_B                                      111  21.7%
 next                                   110  21.5%
，”                                      110  21.5%
>\n                                     110  21.5%
 \n                                     110  21.5%
 more                                   108  21.1%
，\n                                     108  21.1%
‟                                       107  20.9%
\n                                      102  19.9%
({\n                                    101  19.7%
 several                                100  19.5%
 \\({\\                                  97  18.9%
 own                                     96  18.8%
>\n\n                                    95  18.6%
;\n                                      88  17.2%
:                                        86  16.8%
(_                                       78  15.2%
 previous                                78  15.2%
>\n                                      75  14.6%
_T                                       74  14.5%
.Un                                      74  14.5%
 ()\n                                    72  14.1%
 idea                                    71  13.9%
れ                                        70  13.7%
((                                       68  13.3%
 \\(|                                    67  13.1%
>>>>                                     66  12.9%
\\mathbb                                 63  12.3%
,\n                                      63  12.3%
，\n\n                                    61  11.9%
\n\n                                     60  11.7%
 another                                 59  11.5%
 latest                                  58  11.3%
 recent                                  58  11.3%
:\n\n                                    58  11.3%
-B                                       57  11.1%
!)                                       57  11.1%
 additional                              57  11.1%


================================================================================
Head Clusters (by token overlap, Jaccard > 0.3):
================================================================================

Cluster 49 (3 heads): [16, 47, 127]
  Shared Dir0 tokens: [' own', '_D', ' next', ' easily', ' more', '_d', '\\xa0\\xa0\\xa0', ' many', '}(\\\\', '__(']
  H 16 (frob=0.153): [' many', '(\\n', '\\\\({}^{-', '__(', '_D']
  H 47 (frob=0.196): [' many', '_d', ' next', ' easily', ' more']
  H127 (frob=0.167): ['_d', ' many', ' easily', ' next', '__(']

Cluster 22 (2 heads): [3, 48]
  Shared Dir0 tokens: ['_or', '_B', '(\\n', '_D', ' next', ' easily', '_d', '\\xa0\\xa0\\xa0', ' many', '}(\\\\']
  H  3 (frob=0.156): ['__(', '(\\n', '_D', '_d', ' many']
  H 48 (frob=0.176): ['_d', ' many', '_D', '__(', ' next']

Cluster 36 (2 heads): [4, 50]
  Shared Dir0 tokens: [' own', '_B', '(\\n', '_D', ' next', ' easily', ' more', '_d', '，”', ' many']
  H  4 (frob=0.307): ['_d', ' many', '(\\n', ' next', '_D']
  H 50 (frob=0.315): ['_d', ' many', '_D', '__(', ' next']

Cluster 64 (2 heads): [8, 79]
  Shared Dir0 tokens: [' several', ' another', ' own', ' next', ' more', ' easily', '_d', ' latest', ' many', ' recent']
  H  8 (frob=0.144): [' many', ' next', ' more', ' easily', ' several']
  H 79 (frob=0.184): [' many', ' next', '_d', ' more', ' easily']

Cluster 57 (2 heads): [10, 112]
  Shared Dir0 tokens: [' several', ' own', '_D', ' next', ' easily', ' more', '_d', '\\xa0\\xa0\\xa0', '，”', ' many']
  H 10 (frob=0.166): [' many', '_d', ' next', ' more', '\\xa0\\xa0\\xa0']
  H112 (frob=0.206): [' many', '__(', '\\\\({}^{-', ' easily', '_d']

Cluster 39 (2 heads): [13, 95]
  Shared Dir0 tokens: [' several', ' own', ' next', ' easily', ' more', '_d', ' many']
  H 13 (frob=0.175): ['_d', ' many', ' next', '_D', ' easily']
  H 95 (frob=0.405): [' many', ' more', ' next', ' easily', ' own']

Cluster 42 (2 heads): [46, 100]
  Shared Dir0 tokens: [' several', ' own', '_D', ' next', ' easily', ' more', '_d', '\\xa0\\xa0\\xa0', ' many', '}(\\\\']
  H 46 (frob=0.260): [' many', '_d', ' next', ' easily', ' more']
  H100 (frob=0.189): [' many', '_d', ' easily', ' next', ' more']

Cluster 33 (2 heads): [62, 77]
  Shared Dir0 tokens: ['_B', '(\\n', '_D', ' next', ' easily', ' more', '_d', '\\xa0\\xa0\\xa0', ' many', '}(\\\\']
  H 62 (frob=0.146): ['(\\n', '__(', '_D', '_d', '\\\\({}^{-']
  H 77 (frob=0.111): [' many', '_d', '__(', ' next', '\\\\({}^{-']

Cluster 32 (2 heads): [76, 121]
  Shared Dir0 tokens: ['_B', '_D', '(\\n', ' next', ' easily', '_d', '\\xa0\\xa0\\xa0', '，”', ' many', '}(\\\\']
  H 76 (frob=0.204): [' many', '_d', '_D', '\\\\({}^{-', ' easily']
  H121 (frob=0.263): ['_d', '_D', '(\\n', '\\\\({}^{-', '__(']

Cluster 16 (2 heads): [85, 105]
  Shared Dir0 tokens: [' several', ' own', '_D', ' next', ' easily', ' more', '_d', '\\xa0\\xa0\\xa0', '，”', ' many']
  H 85 (frob=0.221): ['__(', ' many', ' next', ' easily', ' more']
  H105 (frob=0.243): ['_d', ' many', ' next', ' easily', '}(\\\\']

Cluster 47 (2 heads): [94, 99]
  Shared Dir0 tokens: [' several', ' another', ' own', ' next', ' easily', ' more', '_d', ' many', ' original', ' recent']
  H 94 (frob=0.188): [' many', ' next', ' more', '_d', ' easily']
  H 99 (frob=0.112): [' many', ' easily', ' next', ' more', ' own']



================================================================================
Significant Heads (>1σ frob) — Dir0-Dir3 top tokens:
================================================================================

Head 5 (frob=0.5663, 4.1σ):
  Dir0 (σ=0.5579): [' many', ' next', ' more', ' easily', '_d', ' own', ' several', ' previous']
  Dir1 (σ=0.0302): ['�', ' ', '_', '�', '�', '\\\\)', ' the', '__(']
  Dir2 (σ=0.0249): ['', ' |\\n\\n', '>>>>', ' (#', '(\\n', ' ****', '\\n\\n\\n\\n\\n\\n\\n\\n', '  \\n\\n']
  Dir3 (σ=0.0230): ['<｜fim▁begin｜>', ' Z', ' स', '.json', 'FFFFFF', '_info', '。。', ' S']

Head 80 (frob=0.5287, 3.6σ):
  Dir0 (σ=0.5146): [' many', ' next', ' easily', ' more', '_d', ' own', ' several', ' previous']
  Dir1 (σ=0.0352): ['', '{table', '\\n', '，\\n', ' \\\\(|', ' ', ' \\n', ' YOUR']
  Dir2 (σ=0.0316): ['\\\\({}_{', '续表', '\\\\({}_{\\\\', '_com', '_\\\\', '又称', '_and', '叫做']
  Dir3 (σ=0.0251): ['\\\\({}_{\\\\', '', ' className', 'бора', '算法', '仍旧', '係', ',']

Head 26 (frob=0.4326, 2.5σ):
  Dir0 (σ=0.4153): ['(\\n', '__(', ' many', '_D', '_d', '\\xa0\\xa0\\xa0', ' next', '\\\\({}^{-']
  Dir1 (σ=0.0426): ['', '{table', '>>>>', '<｜fim▁begin｜>', '>\\n', ' \\\\({\\\\', '\\n', '>\\n\\n']
  Dir2 (σ=0.0324): ['�', '\\\\({}_{', '�', '有些', '_n', '当前', ' ब', '�']
  Dir3 (σ=0.0244): [' \\\\\\\\\\n\\n', 'Much', '\\\\({}_{\\\\', '�', ' Much', '�', '公里', '方程']

Head 14 (frob=0.4274, 2.4σ):
  Dir0 (σ=0.4086): [' many', '_d', ' next', ' easily', ' more', '(\\n', '_D', ' own']
  Dir1 (σ=0.0489): ['', '{table', '>\\n\\n', '(\\n', '({\\n', ' \\n', '\\n', '>\\n']
  Dir2 (σ=0.0279): ['有些', '_CON', '因而', '往往', '很容易', '', 'OS', '\\\\x']
  Dir3 (σ=0.0235): ['The', ' think', ' sometimes', ' italic', 'There', '�', '幼', 'These']

Head 68 (frob=0.4175, 2.3σ):
  Dir0 (σ=0.3897): ['__(', '_D', '(\\n', '_B', '\\\\({}^{-', '_d', '(_', '_T']
  Dir1 (σ=0.0577): ['{table', ' \\\\(|', ' \\\\({\\\\', '�', 'italic', '({\\n', '�', '\\\\({}_{']
  Dir2 (σ=0.0414): ['‟', ' location', '瞭', ' serial', ' previous', ' updates', ' contain', ' contains']
  Dir3 (σ=0.0247): ['', '_fe', '.common', '\\n', '>\\n', '_ASS', '\\n', '\\r']

Head 95 (frob=0.4047, 2.1σ):
  Dir0 (σ=0.3866): [' many', ' more', ' next', ' easily', ' own', ' several', ' previous', '_d']
  Dir1 (σ=0.0496): ['', ';\\n', '}\\\\]', '(\\n', '({\\n', '>\\n', '>\\n\\n', ',\\n']
  Dir2 (σ=0.0271): ['�', '<｜fim▁begin｜>', '�', '�', '�', '�', '\\\\({}_{\\\\', '�']
  Dir3 (σ=0.0255): ['，\\n', ' }\\n', ' }\\n\\n', '售', ' \\\\(', '.open', '、\\n', ' }\\n\\n\\n']

Head 84 (frob=0.3847, 1.9σ):
  Dir0 (σ=0.3511): ['_d', ' many', '_D', ' next', '\\\\({}^{-', '\\xa0\\xa0\\xa0', '__(', ' easily']
  Dir1 (σ=0.0431): ['multicolumn', ' \\\\\\\\\\n\\n', '相同的', 'nbsp', ' shouldn', ' inhibits', '�', 'stackrel']
  Dir2 (σ=0.0351): [' \\\\\\\\\\n\\n', ' \\\\\\\\', ' \\\\({\\\\', '�', '\\\\({}_{', '.");\\n', '�', ' THEIR']
  Dir3 (σ=0.0292): ['', '{\\\\', 't', '}[]{', '\\\\)-', '’', ' the', ' la']

Head 43 (frob=0.3788, 1.8σ):
  Dir0 (σ=0.3532): [' many', ' easily', '__(', ' next', ' more', '\\\\({}^{-', '_d', ' own']
  Dir1 (σ=0.0522): [' some', ' multiple', ' each', ' YOUR', ' those', ' contains', ' every', ' whole']
  Dir2 (σ=0.0366): ['(\\n', '({\\n', '，\\n', '、\\n', '', ' ||\\n', '\\n \\n', ' %}\\n']
  Dir3 (σ=0.0258): [' ISSN', '/questions', '\\\\displaystyle', ' doi', 'Footnote', ' \\\\[=\\\\', 'multirow', ' al']

Head 97 (frob=0.3786, 1.8σ):
  Dir0 (σ=0.3611): [' many', ' next', ' more', ' easily', ' several', ' previous', '_d', ' own']
  Dir1 (σ=0.0353): ['({\\n', '(\\n', ' \\\\({\\\\', '{table', '', '\\\\mathbb', '.{', '}\\\\]']
  Dir2 (σ=0.0289): [' ', '’', ' the', 't', '', ' ', '「', ' S']
  Dir3 (σ=0.0254): [' ||\\n', ' Nan', '(){\\n', '————————\\n\\n', '([\\n', ' /**\\n', '復', '}\\\\']

Head 7 (frob=0.3748, 1.8σ):
  Dir0 (σ=0.3567): ['(\\n', '_d', '_D', '__(', '\\\\({}^{-', '\\xa0\\xa0\\xa0', '_B', '}(\\\\']
  Dir1 (σ=0.0376): ['', '{table', '>>>>', '>\\n', ' \\n', ';\\n', '(\\n', '>\\n\\n']
  Dir2 (σ=0.0308): [' \\\\(', '『', '’', '}{', ' ', ' their', ' la', '「']
  Dir3 (σ=0.0214): ['}{', '.util', '.google', '().', 'cdot', '以上的', ' des', '以上']

Head 71 (frob=0.3667, 1.7σ):
  Dir0 (σ=0.3521): [' many', ' next', ' more', ' easily', '_d', ' own', ' several', ' previous']
  Dir1 (σ=0.0372): ['', '(\\n', '{table', '，\\n', ' \\n', ' \\\\(|', '\\n', '，\\n\\n']
  Dir2 (σ=0.0262): ['\\\\({}_{\\\\', 'で', '年', ' the', ' al', ' la', '可', '六十']
  Dir3 (σ=0.0217): [' stochastic', '治理', '算法', '_api', '集合', ' bitmap', 'layout', '�']

Head 57 (frob=0.3497, 1.5σ):
  Dir0 (σ=0.3282): [' many', ' next', ' more', ' easily', '_d', ' own', ' several', '__(']
  Dir1 (σ=0.0503): ['{table', '', '(\\n', '}\\\\]', '\\n', '.{', '，\\n', ']:\\n\\n']
  Dir2 (σ=0.0273): ['', ' &&', ' values', ' instead', ' result', ' id', ',', ' /']
  Dir3 (σ=0.0251): ['subscript�', ' �', ' italic', ' \\\\(', '        \\n', 'Footnote', '._,', '\\n \\n']

Head 36 (frob=0.3448, 1.4σ):
  Dir0 (σ=0.3168): [' many', ' next', '_d', ' easily', ' more', ' several', ' own', '}(\\\\']
  Dir1 (σ=0.0638): ['}\\\\]', '\\\\({}_{', '', '{table', '({\\n', '�', '((', '({']
  Dir2 (σ=0.0249): [' @@', ' N', ' C', ' B', ' ', ' S', ' el', ' Z']
  Dir3 (σ=0.0224): [' these', 'self', 'The', ' larger', '(this', ' create', 'These', ' existing']

Head 27 (frob=0.3347, 1.3σ):
  Dir0 (σ=0.3213): [' many', '(\\n', '_d', '_D', ' next', '\\xa0\\xa0\\xa0', ' easily', '__(']
  Dir1 (σ=0.0309): ['', '{table', ' YOUR', '>\\n\\n', '>>>>', '({\\n', ' className', '|\\n\\n']
  Dir2 (σ=0.0271): ['電', '００', 'Lemma', '프', 'ない', 'AAAA', 'Suppl', '日讯']
  Dir3 (σ=0.0221): ['}\\\\', '})\\\\', '’', ' ', ' \\\\(', ').', ')\\\\', ']']

Head 111 (frob=0.3270, 1.2σ):
  Dir0 (σ=0.3172): ['(\\n', '}\\\\]', '__(', '\\\\({}^{-', '_D', '，\\n', '', '(_']
  Dir1 (σ=0.0332): [' each', '>\\n', ' many', ' {\\n', '{table', '\\n\\n', ' some', '();\\n']
  Dir2 (σ=0.0199): [')。', '\\t\\t   ', ' ）。', '\\t   ', '）。\\n', ']。', ' \\\\\\\\', '})=']
  Dir3 (σ=0.0189): ['subscript�', '}_{', 'italic', '文学', ' Ku', '%B', ').', 'subscript�']

Head 54 (frob=0.3212, 1.1σ):
  Dir0 (σ=0.2983): ['(\\n', '_D', '_d', '__(', '\\\\({}^{-', '\\xa0\\xa0\\xa0', '}(\\\\', '}\\\\]']
  Dir1 (σ=0.0443): ['', ' {\\n\\n', '>\\n', '>\\n\\n', '{table', ' {\\n', ' \\n', '’']
  Dir2 (σ=0.0303): [' Eastern', ' spatial', '\\u202c', '顧', '_POSTSUPERSCRIPT', '\\\\------------------\\n\\n', ' 》', '<jupyter']
  Dir3 (σ=0.0241): ['�', '�', '}[]{', '�', 'italic', '公益', ' largely', '�']

Head 118 (frob=0.3168, 1.1σ):
  Dir0 (σ=0.2916): ['(\\n', '_D', '\\\\({}^{-', '__(', '_d', '\\xa0\\xa0\\xa0', '}\\\\]', '_B']
  Dir1 (σ=0.0395): [':「', 'Client', '。「', '。”\\n', '、', '、「', '、\\n', ' %}\\n']
  Dir2 (σ=0.0283): ['日记', '小红', ' она', ' ल', '笔趣阁', 'ḥ', '黄金', '老婆']
  Dir3 (σ=0.0279): [';\\n', ');\\n', ');\\n', ');\\n', ']\\n', ',\\n', ',\\n', ';\\n']

Head 50 (frob=0.3147, 1.0σ):
  Dir0 (σ=0.2860): ['_d', ' many', '_D', '__(', ' next', ' easily', '_B', '}(\\\\']
  Dir1 (σ=0.0576): ['{table', ' \\\\({\\\\', '', '}\\\\]', ' \\\\(|', ' \\\\', '�', '}}\\\\)']
  Dir2 (σ=0.0319): ['', '<｜fim▁begin｜>', ' italic', '(\\n\\n', '>\\n\\n', 'subscript�', '×\\n\\n', 'delimited']
  Dir3 (σ=0.0278): ['~\\n', '\\\\\\n', '\\r', '>\\n', '................................................................', '()\\n', '\\n', ' **']

